OBJECTID,GEOID10,TRACT,NAME10,ACRES_TOTAL,GEO_TYPE,Total_Population,White_alone_or_in_combination,Black_or_African_American_alone,American_Indian_and_Alaska_Nati,Asian_alone_or_in_combination,Native_Hawaiian_and_Oth_Pacific,Some_Other_Race_alone_or_combin,Median_Age,Median_Age_Male,Median_Age_Female,Total_Person_of_Color,DIVERSITY_INDEX,POP_UNDER_18,Shape__Area,Shape__Length,Population_Hispanic_or_Latino
1,53033002500,2500,25,243.2190827,Tract,2802,2447,89,30,324,8,56,38.1,37.5,38.6,551,34,521,10594623.24,16442.9684,120
2,53033002600,2600,26,307.5844204,Tract,4660,4138,109,54,519,16,63,35.8,34.9,36.7,862,33,892,13398377.35,15936.13706,211
3,53033005600,5600,56,737.5117275,Tract,6382,5988,80,57,417,19,54,46.5,45.7,47.3,732,21,1446,32126010.85,30337.29435,166
4,53033006800,6800,68,177.4387707,Tract,2834,2639,21,34,226,4,36,38,37.6,38.3,408,26,566,7729232.854,11275.37649,137
5,53033006000,6000,60,324.5674317,Tract,5150,4608,137,84,443,41,53,35.6,36.1,35.2,851,30,645,14138157.32,19729.92287,191
6,53033005900,5900,59,447.9195079,Tract,6836,6180,199,118,592,25,76,29,31.8,26.6,1131,30,853,19511373.77,24649.76667,285
7,53033005700,5700,57,1229.156002,Tract,6001,5354,143,83,601,46,65,42.5,42.1,42.9,1029,31,1209,53542035.47,44813.54284,217
8,53033004900,4900,49,270.6327904,Tract,6139,5532,181,107,528,34,84,32.1,32.7,31.5,1052,31,453,11788764.35,16136.34417,259
9,53033005801,5801,58.01,449.984145,Tract,4743,4148,164,104,445,32,98,35.8,35.6,36,979,36,619,19601309.36,26367.93699,279
10,53033004800,4800,48,330.2822469,Tract,4539,4121,131,98,342,11,54,36.3,36.3,36.4,725,29,655,14387094.68,18725.14239,179
11,53033004700,4700,47,490.8457431,Tract,6739,5943,267,119,523,35,147,34,34.5,33.5,1272,33,490,21381240.57,22313.99487,390
12,53033003200,3200,32,510.2934586,Tract,7683,7149,177,113,434,28,97,39.6,40.1,39.1,990,24,1090,22228383.05,33766.86611,294
13,53033003500,3500,35,317.4524484,Tract,3936,3653,93,58,219,12,62,40.6,40.2,41.1,505,24,578,13828228.65,16634.34812,148
14,53033003400,3400,34,194.4977517,Tract,3302,3079,59,57,189,13,40,37,36,37.7,439,24,600,8472322.063,12629.32226,143
15,53033003300,3300,33,320.3204952,Tract,6224,5594,184,159,467,40,115,34.7,34.7,34.8,1079,31,933,13953160.77,16129.68035,305
16,53033002800,2800,28,242.9853959,Tract,4481,4065,98,76,400,37,79,35.6,35.4,35.9,778,31,716,10584443.84,13187.71249,230
17,53033002900,2900,29,243.6816752,Tract,4177,3853,54,55,273,15,101,38.6,39.1,38,579,25,796,10614773.77,13366.31951,201
18,53033003000,3000,30,368.9674474,Tract,5637,5183,113,75,355,19,140,38.3,37.7,38.9,857,27,1163,16072222.01,16061.94762,337
19,53033003100,3100,31,530.7031456,Tract,6219,5819,103,94,373,28,84,40.9,40.3,41.5,799,24,1277,23117429.02,24381.15248,255
20,53033001701,1701,17.01,220.5934557,Tract,3818,2953,279,109,546,38,142,34.1,34.4,33.8,1227,51,570,9609050.93,17164.45464,314
21,53033001702,1702,17.02,316.3291459,Tract,4234,3445,245,113,508,20,124,37.6,37.1,38.2,1148,45,610,13779297.6,17476.40639,305
22,53033001600,1600,16,476.7483701,Tract,4131,3690,119,66,339,16,90,44,42.8,45.2,692,30,863,20767159,23530.62451,199
23,53033001500,1500,15,283.1731842,Tract,2454,2337,29,35,130,5,19,45.5,45.2,45.8,249,19,472,12335023.9,13808.83757,74
24,53033000200,200,2,812.0079487,Tract,7646,5480,659,150,1554,56,235,38.8,37.3,40.3,2808,56,1230,35371066.25,24111.68827,516
25,53033002700,2700,27,393.8050087,Tract,5289,4739,116,71,549,18,69,35.7,35,36.2,940,31,855,17154146.18,24129.07917,240
26,53033002200,2200,22,683.242151,Tract,5286,4577,111,47,685,19,69,45.4,44.5,46.2,1023,34,1130,29762028.1,29647.22757,189
27,53033002400,2400,24,241.6795649,Tract,2972,2630,51,38,375,16,27,39.4,38.6,40.1,540,32,660,10527561.85,13847.81026,91
28,53033002000,2000,20,279.6981736,Tract,3406,2964,119,72,385,10,58,37.9,37.7,38.1,705,36,586,12183652.44,15511.7437,146
29,53033002100,2100,21,337.391041,Tract,3807,3187,131,83,494,9,83,38.4,37.2,39.4,875,39,718,14696753.74,16139.92101,227
30,53033001900,1900,19,410.970985,Tract,4157,3338,197,84,688,31,87,35.3,34.5,35.9,1156,45,678,17901896.11,21117.7835,224
31,53033001800,1800,18,232.9978561,Tract,4535,3482,326,93,766,21,156,31.3,31.1,31.4,1461,51,585,10149386.61,14099.48196,311
32,53033000900,900,9,234.7235321,Tract,2019,1765,27,21,256,9,32,48.6,48.7,48.5,386,33,362,10224557.06,21457.13784,73
33,53033001300,1300,13,292.5511842,Tract,4340,3002,379,148,792,36,271,33.9,34.2,33.7,1774,60,552,12743529.58,15034.47014,514
34,53033001100,1100,11,262.0177475,Tract,2503,1989,144,60,358,16,69,39.6,39.2,39.9,719,47,421,11413493.08,14316.88537,178
35,53033001000,1000,10,235.8356654,Tract,1941,1410,241,61,313,14,30,36.1,34.2,37.8,670,54,464,10273001.58,13304.72443,108
36,53033001200,1200,12,453.1722387,Tract,6494,4352,697,211,1227,105,357,33.9,32.4,35.9,2770,62,930,19740182.72,20845.20281,669
37,53033000800,800,8,282.0730706,Tract,2583,2131,139,57,365,27,39,41.8,39.9,43.4,652,42,526,12287102.96,15396.72215,103
38,53033000600,600,6,948.3131859,Tract,7626,5237,687,166,1617,66,368,36.1,35.2,37.5,3044,59,1325,41308522.38,31707.38715,640
39,53033000700,700,7,319.8986037,Tract,4438,3048,471,143,835,44,193,35,34.3,36.2,1820,61,688,13934783.18,16213.54033,464
40,53033000100,100,1,456.9270292,Tract,6255,3980,986,193,1073,82,378,36.1,35.8,36.3,2902,66,1039,19903741.39,19590.48344,737
41,53033000300,300,3,299.1018508,Tract,2603,1895,227,69,469,29,119,38.6,38.3,38.9,934,56,485,13028876.62,17267.97449,207
42,53033004100,4100,41,787.830676,Tract,7789,6799,100,74,1030,27,93,39,38.3,39.7,1403,31,2069,34317904.24,35293.16199,218
43,53033005200,5200,52,238.3925545,Tract,6076,4092,204,84,1872,52,153,25,25.3,24.7,2440,57,416,10384379.67,14181.38427,321
44,53033005100,5100,51,217.8636468,Tract,3662,3320,72,53,359,8,42,37.5,37.1,37.7,618,30,646,9490140.454,13462.59073,161
45,53033005301,5301,53.01,134.2897257,Tract,7085,4834,236,119,2136,55,147,21.7,22,21.3,2798,56,89,5849660.45,11330.92247,347
46,53033005000,5000,50,187.1426853,Tract,3600,3153,155,54,333,20,59,32.2,32.8,31.7,709,35,444,8151935.371,11560.14792,177
47,53033004200,4200,42,608.8325993,Tract,7618,6571,276,93,921,36,125,37.9,37,38.7,1581,36,1676,26520748.03,23930.32934,301
48,53033004301,4301,43.01,241.9906529,Tract,3531,2935,105,41,578,14,67,30.6,29.4,31.3,872,41,621,10541112.84,17201.37093,174
49,53033004302,4302,43.02,81.71674016,Tract,3518,2651,113,38,787,17,102,22.2,22.3,22,1135,50,84,3559581.201,8012.17724,214
50,53033004000,4000,40,613.4915356,Tract,2690,2233,180,34,313,30,40,39.4,38.9,39.7,636,40,576,26723691.29,28199.57461,102
51,53033004400,4400,44,244.5958034,Tract,6260,5117,227,114,1033,44,131,24.9,25.4,23.9,1666,44,483,10654593.19,13317.89824,319
52,53033004500,4500,45,165.7975095,Tract,2676,2416,56,35,259,19,34,30.3,30.4,30.1,456,30,315,7222139.515,11018.30153,118
