Type of Permit,New Units Permitted,Net Units Permitted,Type of Dwelling Unit,Issued Date,Year Issued,Year Finaled,Urban Village Name,Urban Village Type,Neighborhood,Council District,Longitude,Latitude,GEOID20,Type of Dwelling Unit per Code
Construction Permit,1,1,SF,9/8/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.3168431,47.70108882,5.30E+14,Detached Single-Family
Construction Permit,2,2,ADU,9/8/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.3168431,47.70108882,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,2,2,MF,2/20/2019 8:00,2019,2019,University District Northwest,Urban Center Village,Northeast,4,-122.3167338,47.66844674,5.30E+14,Townhouse
Construction Permit,6,6,MF,7/17/2018 8:00,2018,2020,Outside Villages,Outside Villages,Northwest,5,-122.3587188,47.70316868,5.30E+14,Rowhouse
Construction Permit,2,2,MF,11/29/2022 8:00,2022,2024,Roosevelt,Residential Urban Village,Northeast,4,-122.3166641,47.68030997,5.30E+14,Rowhouse
Construction Permit,1,1,SF,10/15/2018 8:00,2018,2019,Outside Villages,Outside Villages,North,5,-122.3169854,47.69606084,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,5/1/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3170105,47.70073545,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,4,4,MF,3/23/2022 8:00,2022,2023,Uptown,Urban Center,Magnolia/Queen Anne,7,-122.3455451,47.62866569,5.30E+14,Townhouse
Construction Permit,1,1,SF,5/11/2020 8:00,2020,2022,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3585975,47.63368477,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,5/11/2020 8:00,2020,2022,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3585975,47.63368477,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,6,6,MF,2/22/2023 8:00,2023,2025,Capitol Hill,Urban Center Village,East,3,-122.3185887,47.62006082,5.30E+14,Townhouse
Construction Permit,1,1,SF,5/22/2025 8:00,2025,2026,Outside Villages,Outside Villages,Southwest,1,-122.3883337,47.51197126,5.30E+14,Detached Single-Family
Construction Permit,4,4,MF,1/26/2022 8:00,2022,2023,Uptown,Urban Center,Magnolia/Queen Anne,7,-122.3451714,47.62857885,5.30E+14,Rowhouse
Construction Permit,1,1,DADU,7/8/2019 8:00,2019,2021,Outside Villages,Outside Villages,Southwest,1,-122.3833705,47.51161027,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,6/28/2024 8:00,2024,2025,Outside Villages,Outside Villages,Southwest,1,-122.3824934,47.51144675,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,6/27/2019 8:00,2019,2021,Outside Villages,Outside Villages,Southwest,1,-122.3833671,47.51154183,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,6/27/2019 8:00,2019,2021,Outside Villages,Outside Villages,Southwest,1,-122.3833671,47.51154183,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,6/28/2024 8:00,2024,2025,Outside Villages,Outside Villages,Southwest,1,-122.3828032,47.51144914,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,6/28/2024 8:00,2024,2025,Outside Villages,Outside Villages,Southwest,1,-122.3828032,47.51144914,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,11/30/2018 8:00,2018,2019,Outside Villages,Outside Villages,Southeast,2,-122.2562365,47.50911616,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,4/20/2021 8:00,2021,2023,Roosevelt,Residential Urban Village,Northeast,4,-122.3161444,47.67979054,5.30E+14,Townhouse
Construction Permit,1,1,DADU,4/1/2020 8:00,2020,2020,Outside Villages,Outside Villages,North,5,-122.3165268,47.70107708,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,8/20/2021 8:00,2021,2022,Outside Villages,Outside Villages,North,5,-122.3164387,47.69835274,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,4/27/2022 8:00,2022,2023,Outside Villages,Outside Villages,Northwest,5,-122.357902,47.70113247,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,3,3,MF,3/30/2021 8:00,2021,2023,Roosevelt,Residential Urban Village,Northeast,4,-122.3162039,47.67964335,5.30E+14,Rowhouse
Construction Permit,1,1,SF,2/7/2020 8:00,2020,2021,Outside Villages,Outside Villages,North,5,-122.3162447,47.69508729,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,12/27/2021 8:00,2021,2023,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3401733,47.70337945,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,12/27/2021 8:00,2021,2023,Aurora-Licton Springs,Residential Urban Village,Northwest,5,-122.3401733,47.70337945,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,10/5/2020 8:00,2020,2021,Outside Villages,Outside Villages,Ballard,5,-122.3717166,47.70350766,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,10/5/2020 8:00,2020,2021,Outside Villages,Outside Villages,Ballard,5,-122.3717166,47.70350766,5.30E+14,Detached Single-Family
