GEOID,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population  2015,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020,Population 2021,Population 2022,Population 2023,Housing Units 2010,Housing Units 2011,Housing Units 2012,Housing Units 2013,Housing Units 2014,Housing Units 2015,Housing Units 2016,Housing Units 2017,Housing Units 2018,Housing Units 2019,Housing Units 2020,Housing Units 2021,Housing Units 2022,Housing Units 2023,Population 2024,Housing Units 2024,Population Density (people per acre for most recent year),Housing Unit Density (units per acre for most recent year),Population 2025,Housing Units 2025,Shape__Area,New Units Permitted
530330000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74816.62073,119157
530330000000000.0,69.996,68.681,70.098,71.468,70.817,70.602,71.001,70.182,69.08,67.672,66.826,66.882,66.375,72.99,23.001,23.082,24.334,25.352,25.559,25.591,25.648,25.687,25.718,25.769,26,26.0,26.0,29.712,72.853,29.68,14.50471911,5.934776063,72.519,29.672,217786.453,119157
530330000000000.0,81.995,81.422,80.583,80.077,79.503,79.378,79.415,79.893,79.657,79.047,78.576,78.662,78.06,77.777,34.002,34.546,35.02,35.516,36.014,36.498,37.007,37.516,37.986,38.487,39,39.0,39.0,38.991,77.829,38.991,35.98206423,18.10152332,77.506,38.991,93826.34384,119157
530330000000000.0,84.995,86.299,87.463,89.259,91.257,93.95,90.833,93.051,85.792,87.043,88.317,88.393,87.734,87.495,36.002,36.237,36.398,36.583,36.77,36.942,36.107,36.304,34.635,34.824,35,35.0,35.0,35.0,87.52,35.0,17.1908079,6.902196538,87.172,35.0,220876.8569,119157
530330000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21192.25536,119157
530330000000000.0,64.996,64.592,64.089,64.061,64.191,64.835,64.897,65.273,65.115,64.661,64.298,64.348,63.86,63.679,27.001,27.036,27.016,27.013,27.013,27.001,27.008,27.015,26.994,26.995,27,26.998,26.998,26.998,63.7,26.998,16.09633972,6.849970521,63.441,26.998,171678.248,119157
530330000000000.0,100.994,103.587,106.021,109.253,114.248,118.676,124.013,127.943,131.042,133.633,136.336,136.447,135.382,135.02,53.003,53.08,53.048,53.051,54.045,54.031,54.053,54.008,53.975,53.985,54,54.0,54.0,54.0,142.122,57.91,25.160247,10.30627232,141.212,57.844,244466.2156,119157
530330000000000.0,21.999,21.967,21.863,21.853,21.814,21.909,22.057,22.346,24.714,24.673,24.676,24.687,24.493,26.535,10.0,9.873,9.725,9.584,9.441,9.296,9.158,9.018,10.278,10.137,10,9.998,9.998,11.305,28.822,12.722,11.35211693,5.055276997,28.436,12.663,109105.0413,119157
530330000000000.0,67.996,67.434,66.762,66.55,66.51,66.907,67.785,67.581,67.172,66.534,66.018,65.997,65.443,65.215,20.001,20.027,20.012,20.009,20.009,19.999,20.003,20.008,19.992,19.993,20,19.998,19.987,19.974,65.058,19.974,16.42651789,5.053573636,64.925,19.974,172163.8091,119157
530330000000000.0,52.997,52.535,51.991,51.844,51.821,52.237,52.182,52.47,54.53,54.031,53.63,53.69,53.147,52.981,24.001,23.991,23.932,23.888,23.846,23.795,23.76,23.725,25.072,25.032,25,25.0,24.963,24.963,55.142,26.299,10.74775515,5.147909979,54.888,26.29,222450.8823,119157
